date,avg,min,max
2025-01-01,1.6117190345742792E-4,-2.287931238245378E-5,3.3448004978745287E-4
2025-01-02,9.488810308406474E-5,-2.162029413743106E-4,4.4595007784744797E-4
2025-01-03,2.605016513328314E-5,-1.1852854030524224E-4,1.9521104992962975E-4
2025-01-04,-2.1437336299195104E-5,-1.7691535347260577E-4,2.2083408428183232E-4
2025-01-05,1.0409219612057652E-4,-9.886230752230568E-5,2.127758343706358E-4
2025-01-06,1.9695986755349977E-4,-1.599212919248349E-5,3.6596151767338364E-4
2025-01-07,5.275707460690091E-5,-1.7672072863238037E-4,3.810205962513059E-4
2025-01-08,2.0841709602742437E-4,-2.8543889129702092E-5,4.613666387748816E-4
2025-01-09,3.0096706651754144E-4,1.0389494855169617E-4,4.988590969918496E-4
2025-01-10,1.3920741660748386E-4,-2.8481794288433136E-5,2.8315231198442403E-4
2025-01-11,5.243057175647522E-5,-3.600438649306958E-4,4.465879173947472E-4
2025-01-12,3.2926876854939545E-5,-2.3825750395232802E-4,3.7013925612039346E-4
2025-01-13,1.8014530538983556E-4,-6.506378902503552E-5,3.9726673276235054E-4
2025-01-14,8.433138448458952E-6,-1.072188024410281E-4,2.2686278680380238E-4
2025-01-15,9.692590192375699E-5,-1.3151997550562598E-4,4.015792801517761E-4
2025-01-16,1.55858318760595E-4,-9.553025302028693E-5,2.3197257542093076E-4
2025-01-17,5.2295537146170553E-5,-1.3150571612664856E-4,4.267569747761113E-4
2025-01-18,6.428698015907408E-5,-2.7802973636414273E-4,3.6662013735662023E-4
2025-01-19,1.8398713355456927E-4,-1.7337031022211037E-4,3.078461741102806E-4
2025-01-20,2.8691251625057333E-4,-3.89475753764114E-5,4.4639507541513224E-4
2025-01-21,1.5306539071102825E-4,-8.995229934013795E-5,2.847299204143944E-4
2025-01-22,2.587876824747513E-4,6.260225200091636E-5,5.693800759216747E-4
2025-01-23,5.6798176525762236E-5,-1.0079883556132994E-4,1.8862404976991952E-4
2025-01-24,7.45104542811172E-5,-4.448389154284807E-5,2.856011528019299E-4
2025-01-27,9.970627401298999E-5,-1.4339188055626748E-4,2.4601680343063896E-4
2025-01-28,1.2912134061340751E-4,-1.536709896756144E-4,3.7531231646466826E-4
2025-01-29,5.35625895737195E-5,-2.1884006855583043E-4,2.4831842165484963E-4
2025-01-31,1.4565282333007599E-4,5.4316449677505274E-5,2.454458826991022E-4
2025-02-01,3.836248425090758E-5,-1.636297238295114E-4,1.220919694923274E-4
2025-02-02,6.092767959540364E-5,-1.9398738712328168E-4,2.1398935517083582E-4
2025-02-03,1.3237244312343116E-4,-8.270826472309838E-5,4.1134801231955E-4
2025-02-04,4.2168954574691536E-5,-1.527968415760388E-4,1.827213709477459E-4
2025-02-07,4.2117619377068524E-5,-1.1546551832010483E-4,1.7212427337672648E-4
2025-02-08,-4.6008180035480445E-5,-1.6106634575436906E-4,3.2679390278703607E-4
2025-02-09,7.894847668046557E-5,-1.3724395830674554E-4,3.1157181365471464E-4
2025-02-10,9.10199237085396E-5,-1.3401388423530725E-4,3.0133925611207417E-4
2025-02-11,1.0924765031048578E-4,-6.484271585411888E-5,2.27910418639734E-4
2025-02-14,4.119129612383135E-5,-1.9434907270021344E-4,2.024205508928612E-4
2025-02-15,8.876568912804835E-5,-1.7008646682388945E-4,2.143429592255631E-4
2025-02-16,3.4290753367715995E-5,-6.800621694983025E-5,3.3653906821407394E-4
2025-02-17,5.665421607415919E-5,-2.2973339734995253E-4,4.251836799089385E-4
2025-02-18,1.1968248584891352E-4,-2.1127385844033829E-4,3.745448775596199E-4
2025-02-19,5.356960840269918E-5,-2.924399741464895E-4,2.6140575948691095E-4
2025-02-20,1.5472579627570353E-4,2.6167875582103585E-5,3.006004955318569E-4
2025-02-21,-5.684627717911893E-5,-2.4228481516473988E-4,2.6237606653059504E-4
2025-02-22,2.8249794199674194E-4,-1.043201191351859E-4,5.390339210871984E-4
2025-02-23,1.9987273960271688E-4,-6.0414069594225485E-5,3.6519987043058956E-4
2025-02-24,4.4456840029694936E-5,-1.7569735064188794E-4,3.3707064982373564E-4
2025-02-25,2.2494235878790705E-4,-7.985034936616188E-5,3.284490187980872E-4
2025-02-26,1.8165520048365251E-4,-7.45429634664636E-5,3.739727346165231E-4
2025-02-27,5.357392710242819E-5,4.9183590559853407E-5,5.809244355968144E-5
2025-02-28,9.111665616720754E-7,-6.86226121616852E-5,3.5461030247251773E-4
2025-03-01,1.0994363878898155E-4,-5.160027136679061E-5,1.5012460312680212E-4
2025-03-02,3.048553673505387E-6,-1.0585779818958074E-4,3.070139209742929E-4
