date,avg,min,max
2025-01-01,1.1279405476692826E-4,9.300187230099629E-5,1.603596756469339E-4
2025-01-02,2.5991768658049946E-4,1.4453317271527865E-4,3.5225218744002287E-4
2025-01-03,3.606824685600152E-4,2.7273906744073716E-4,5.743502859191316E-4
2025-01-04,1.470117578833257E-4,1.0563934619161179E-4,3.7106878139094317E-4
2025-01-05,1.2701026210433473E-4,7.464963709921118E-5,1.7993096844311142E-4
2025-01-06,1.5861520085564058E-4,1.3473702711077414E-4,2.225686912427282E-4
2025-01-07,1.744076818896889E-4,6.145417137301722E-5,5.06173528266118E-4
2025-01-08,3.4121790961947517E-4,8.958257239999478E-5,5.47856616322936E-4
2025-01-09,9.120415537163113E-4,2.7202232740786207E-4,0.0017143028089807453
2025-01-10,2.9973879453184686E-4,1.396577223197939E-4,4.151448520137785E-4
2025-01-11,4.8717791533603455E-4,1.5821806899908624E-4,8.228816441275071E-4
2025-01-12,7.670675548559287E-5,5.472194970924076E-5,1.008964027279939E-4
2025-01-13,1.3747646480627714E-4,9.124196367327149E-5,2.6257429745546804E-4
2025-01-14,1.610601382703959E-4,1.5055072719935943E-4,1.8267231644151103E-4
2025-01-15,3.059443300694856E-4,1.914647000373795E-4,3.639063713073379E-4
2025-01-16,1.8490524418179907E-4,1.588501763759836E-4,2.2320360585603794E-4
2025-01-17,1.3265942284858677E-4,9.195621532870224E-5,2.1310060587078584E-4
2025-01-18,1.180407103040054E-4,8.574109233439666E-5,1.713706725101945E-4
2025-01-19,7.75311999354983E-5,5.519726983031963E-5,9.672899614098753E-5
2025-01-20,1.1970291049761235E-4,9.166834934131222E-5,1.435222220609682E-4
2025-01-21,1.257296943455221E-4,9.14158911776122E-5,1.6069961555409014E-4
2025-01-22,2.880014454451424E-4,1.9253400387234294E-4,3.318446979398285E-4
2025-01-23,1.2658767163247584E-4,5.6047283578600544E-5,1.7055502394244934E-4
2025-01-24,3.1113929036499175E-4,2.0429417781972506E-4,4.140377664175332E-4
2025-01-26,1.553175240926661E-4,1.1210256707258792E-4,1.739330530145774E-4
2025-01-27,1.3876746975403998E-4,1.1856453056657124E-4,1.770414382919574E-4
2025-01-28,1.6651971228315933E-4,1.2950413806663848E-4,2.0941808179509308E-4
2025-01-29,9.084507052857476E-5,6.758501694990299E-5,1.2305178261903343E-4
2025-01-30,2.394971837206304E-4,1.9382676691724515E-4,2.9918953725560746E-4
2025-01-31,1.446122901072764E-4,1.0894311708384849E-4,1.9940249330865675E-4
2025-02-01,1.3579993367375195E-4,1.0301321736485918E-4,1.7278405721318134E-4
2025-02-02,1.5470947225592252E-4,1.062540904966747E-4,1.8944412295261503E-4
2025-02-03,1.7104483093709658E-4,9.639651398155834E-5,3.502570455917195E-4
2025-02-04,1.1031129116565125E-4,9.135438449464398E-5,1.3746299579170846E-4
2025-02-05,1.743047317771894E-4,1.6013319738582542E-4,1.8492172972300514E-4
2025-02-06,1.2518581744662836E-4,8.153851376836468E-5,1.6743765445456207E-4
2025-02-07,6.883285473833075E-5,4.541197438843421E-5,8.288369809023917E-5
2025-02-08,1.364298510026016E-4,7.083196098670754E-5,1.8698889471145186E-4
2025-02-09,1.389258159582024E-4,1.1946682934634689E-4,1.645457377889429E-4
2025-02-10,2.4312447479671328E-4,1.8955135601549526E-4,3.778552054431336E-4
2025-02-11,1.4417341751719634E-4,1.1328425719726108E-4,2.1835879781394722E-4
2025-02-14,4.753054577863374E-5,2.5827979698047143E-5,6.134190156580917E-5
